2022-05-14, 17:00;Banga#;01:01;#Jonava;Gargždų m. stadionas
2022-05-14, 15:00;Riteriai#;00:01;#Žalgiris;LFF stadionas
2022-05-14, 13:00;K. Žalgiris#;00:03;#Sūduva;Prezidento V. Adamkaus VDU sporto centras
2022-05-04, 20:00;Žalgiris#;02:01;#Banga;LFF stadionas
2022-05-04, 19:00;Sūduva#;01:01;#Riteriai;„Hikvision“ arena
2022-05-04, 18:00;Džiugas#;01:02;#K. Žalgiris;„Ateities“ progimnazijos stadionas
2022-05-03, 18:00;Jonava#;00:03;#Šiauliai;Jonavos dirbtinės dangos st.
2022-05-03, 18:00;Panevėžys#;01:01;#Hegelmann;„Žemynos“ progimnazijos stadionas
2022-05-01, 17:30;Riteriai#;03:00;#Džiugas;LFF stadionas
2022-05-01, 15:00;Banga#;00:01;#Sūduva;Gargždų m. stadionas
2022-04-30, 19:00;Šiauliai#;00:01;#Žalgiris;Šiaulių sav. stadionas
2022-04-30, 17:00;K. Žalgiris#;02:01;#Panevėžys;Prezidento V. Adamkaus VDU sporto centras
2022-04-30, 13:00;Hegelmann#;04:00;#Jonava;LFF Kauno treniruočių centro st.
2022-04-27, 20:00;Sūduva#;02:00;#Šiauliai;„Hikvision“ arena (maniežas)
2022-04-27, 18:00;Panevėžys#;03:00;#Riteriai;„Žemynos“ progimnazijos stadionas
2022-04-27, 18:00;Jonava#;00:05;#Žalgiris;Jonavos dirbtinės dangos st.
2022-04-26, 20:00;K. Žalgiris#;01:03;#Hegelmann;Prezidento V. Adamkaus VDU sporto centras
2022-04-26, 18:00;Džiugas#;00:00;#Banga;„Ateities“ progimnazijos stadionas
2022-04-24, 17:30;Sūduva#;02:00;#Jonava;„Hikvision“ arena (maniežas)
2022-04-23, 17:00;Hegelmann#;02:02;#Žalgiris;LFF Kauno treniruočių centro st.
2022-04-23, 15:00;Džiugas#;00:00;#Šiauliai;„Ateities“ progimnazijos stadionas
2022-04-23, 13:00;Panevėžys#;02:00;#Banga;„Žemynos“ progimnazijos stadionas
2022-04-22, 18:00;K. Žalgiris#;00:01;#Riteriai;Prezidento V. Adamkaus VDU sporto centras
2022-04-17, 17:30;Žalgiris#;00:00;#Sūduva;LFF stadionas
2022-04-16, 17:00;Jonava#;00:01;#Džiugas;Jonavos dirbtinės dangos st.
2022-04-16, 15:00;Šiauliai#;00:03;#Panevėžys;Šiaulių „Gytarių“ stadionas
2022-04-16, 13:00;Hegelmann#;01:01;#Riteriai;LFF Kauno treniruočių centro st.
2022-04-15, 18:00;Banga#;03:01;#K. Žalgiris;Gargždų m. stadionas
2022-04-13, 14:30;Džiugas#;03:05;#Žalgiris;„Ateities“ progimnazijos stadionas
2022-04-10, 17:30;Sūduva#;00:01;#Hegelmann;„Hikvision“ arena (maniežas)
2022-04-10, 15:00;Riteriai#;01:00;#Banga;LFF stadionas
2022-04-10, 13:00;K. Žalgiris#;00:00;#Šiauliai;Prezidento V. Adamkaus VDU sporto centras
2022-04-09, 13:00;Panevėžys#;04:00;#Jonava;„Žemynos“ progimnazijos stadionas
2022-04-06, 20:00;Šiauliai#;01:00;#Riteriai;Šiaulių „Gytarių“ stadionas
2022-04-06, 18:00;Hegelmann#;02:00;#Banga;LFF Kauno treniruočių centro st.
2022-04-05, 20:00;Sūduva#;01:01;#Džiugas;„Hikvision“ arena (maniežas)
2022-04-05, 19:00;Žalgiris#;00:00;#Panevėžys;LFF stadionas
2022-04-05, 18:00;Jonava#;00:02;#K. Žalgiris;Jonavos dirbtinės dangos st.
2022-04-03, 17:30;Banga#;00:00;#Šiauliai;Gargždų m. stadionas
2022-04-02, 17:00;K. Žalgiris#;02:02;#Žalgiris;Prezidento V. Adamkaus VDU sporto centras
2022-04-02, 15:00;Džiugas#;01:01;#Hegelmann;„Ateities“ progimnazijos stadionas
2022-04-02, 13:00;Panevėžys#;02:01;#Sūduva;„Žemynos“ progimnazijos stadionas
2022-04-01, 19:30;Riteriai#;05:00;#Jonava;„Sportima“
2022-03-26, 15:00;Banga#;03:03;#Džiugas;Gargždų m. stadionas
2022-03-20, 17:30;Žalgiris#;02:00;#Riteriai;„Sportima“
2022-03-20, 15:00;Hegelmann#;01:00;#Šiauliai;LFF Kauno treniruočių centro st.
2022-03-20, 13:00;Džiugas#;00:01;#Panevėžys;„Ateities“ progimnazijos stadionas
2022-03-19, 17:00;Sūduva#;01:01;#K. Žalgiris;„Hikvision“ arena (maniežas)
2022-03-19, 15:00;Jonava#;01:03;#Banga;Jonavos dirbtinės dangos st.
2022-03-16, 19:30;Riteriai#;02:00;#Sūduva;„Sportima“
2022-03-16, 19:00;Banga#;00:02;#Žalgiris;Gargždų m. stadionas
2022-03-16, 18:00;Šiauliai#;03:00;#Jonava;Šiaulių „Gytarių“ stadionas
2022-03-15, 20:00;K. Žalgiris#;02:01;#Džiugas;Prezidento V. Adamkaus VDU sporto centras
2022-03-15, 18:00;Hegelmann#;00:01;#Panevėžys;LFF Kauno treniruočių centro st.
2022-03-13, 17:30;Žalgiris#;00:00;#Šiauliai;„Sportima“
2022-03-12, 17:00;Sūduva#;03:00;#Banga;„Hikvision“ arena (maniežas)
2022-03-12, 15:00;Džiugas#;00:01;#Riteriai;„Ateities“ progimnazijos stadionas
2022-03-11, 15:00;Jonava#;01:04;#Hegelmann;Jonavos dirbtinės dangos st.
2022-03-11, 13:00;Panevėžys#;01:00;#K. Žalgiris;„Žemynos“ progimnazijos stadionas
2022-03-06, 17:30;Riteriai#;00:00;#Panevėžys;„Sportima“
2022-03-06, 15:00;Šiauliai#;00:00;#Sūduva;Šiaulių „Gytarių“ stadionas
2022-03-05, 13:00;Hegelmann#;02:01;#K. Žalgiris;LFF Kauno treniruočių centro st.
2022-03-04, 19:30;Žalgiris#;06:00;#Jonava;„Sportima“
